,brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,dimentions,weight_g,SIM,display_type,display_resolution,display_size,OS,CPU,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url
172,Samsung,Galaxy S6 edge+ Duos,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A Cat6 300/50 Mbps/ LTE-A (3CA) Cat9 450/50 Mbps,Yes,Yes,2015,154.4 x 75.8 x 6.9 mm (6.08 x 2.98 x 0.27 in),BelowAvg,Dual-SIM,Super AMOLED capacitive touchscreen  16M colors,5.7 inches (~76.5% screen-to-body ratio),1440 x 2560 pixels (~515 ppi pixel density),Android 5.1.1 (Lollipop)| upgradable to 6.0.1 (Marshmallow),Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),Mali-T760MP8,No,32/64 GB,4 GB RAM,16 MP| f/1.9| 28mm| OIS| autofocus| LED flash,5 MP| f/1.9| 22mm| 1440p@30fps| dual video call| Auto HDR,Yes,Yes,Yes,Yes,Yes,Yes,No,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,High,Black Sapphire| Gold Platinum| Silver Titan| White Pearl,High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s6-edge-plus.jpg
173,Samsung,Galaxy S5 Neo,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A Cat6 300/50 Mbps,Yes,Yes,2015,142 x 72.5 x 8.1 mm (5.59 x 2.85 x 0.32 in),Light,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,5.1 inches (~69.6% screen-to-body ratio),1080 x 1920 pixels (~432 ppi pixel density),Android 5.1.1 (Lollipop)| upgradable to 6.0.1 (Marshmallow),Octa-core 1.6 GHz Cortex-A53,Mali-T720MP2,microSD  up to 256 GB (dedicated slot),16 GB,2 GB RAM,16 MP| f/1.9| 31mm| autofocus| LED flash,5 MP| f/1.9| 23mm| 1080p@30fps,Yes,Yes,Yes,Yes,Yes,Yes,Yes,microUSB 2.0,Accelerometer| gyro| proximity| compass| heart rate,High,Black| Gray| Gold,High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s5-neo.jpg
174,Samsung,Galaxy S4 mini I9195I,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015,124.6 x 61.3 x 8.9 mm (4.91 x 2.41 x 0.35 in),Light,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,4.3 inches (~66.7% screen-to-body ratio),540 x 960 pixels (~256 ppi pixel density),Android 4.4.4 (KitKat),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSD  up to 64 GB (dedicated slot),8 GB,1.5 GB RAM,8 MP| autofocus| LED flash,1.9 MP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,microUSB 2.0,Accelerometer| gyro| proximity| compass,Moderate,White Frost| Black Mist,Moderate,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s4-mini-plus-gt-i9195i.jpg
175,Samsung,Galaxy Folder,GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2015,122 x 60.2 x 15.3 mm (4.80 x 2.37 x 0.60 in),BelowAvg,Single-SIM,TFT capacitive touchscreen  16M colors,3.8 inches (~56.0% screen-to-body ratio),480 x 800 pixels (~246 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.2 GHz,Adreno 306,microSD  up to 256 GB (dedicated slot),8 GB,1.5 GB RAM,8 MP| autofocus,2 MP,Yes,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Accelerometer| proximity,Moderate,Black| White,Moderate,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-folder-SM-G150.jpg
176,Samsung,Galaxy Tab S2 9.7,GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2015,237.3 x 169 x 5.6 mm (9.34 x 6.65 x 0.22 in),Heavy,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,9.7 inches (~72.7% screen-to-body ratio),1536 x 2048 pixels (~264 ppi pixel density),Android 5.0.2 (Lollipop)| upgradable to 6.0.1 (Marshmallow) - T810| T815,Octa-core (4x1.9 GHz & 4x1.3 GHz) - T810| T815,Mali-T760 MP6 - T810| T815,microSD  up to 256 GB (dedicated slot),32/64 GB,3 GB RAM,8 MP| autofocus,2.1 MP,Yes,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| compass,Super High,White| black| gold,High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s2-97.jpg
177,Samsung,Galaxy Tab S2 8.0,GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2015,198.6 x 134.8 x 5.6 mm (7.82 x 5.31 x 0.22 in),AboveAvg,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,8.0 inches (~74.0% screen-to-body ratio),1536 x 2048 pixels (~320 ppi pixel density),Android 5.0.2 (Lollipop)| upgradable to 6.0.1 (Marshmallow) - T710| T715,Octa-core (4x1.9 GHz & 4x1.3 GHz) - T710| T715,Mali-T760 MP6 - T710| T715,microSD  up to 256 GB (dedicated slot),32/64 GB,3 GB RAM,8 MP| autofocus,2.1 MP,Yes,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,High,White| black gold,High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s2-80r1.jpg
178,Samsung,Galaxy A8 Duos,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A Cat6 300/50 Mbps,Yes,Yes,2015,158 x 76.8 x 5.9 mm (6.22 x 3.02 x 0.23 in),BelowAvg,Dual-SIM,Super AMOLED capacitive touchscreen  16M colors,5.7 inches (~73.8% screen-to-body ratio),1080 x 1920 pixels (~386 ppi pixel density),Android 5.1 (Lollipop)| upgradable to 6.0 (Marshmallow),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.3 GHz Cortex-A53) - A800Y,Adreno 405 - A800Y,microSD  up to 256 GB (uses SIM 2 slot),32 GB,2 GB RAM,16 MP| f/1.9| 31mm| autofocus| LED flash,5 MP| f/1.9| 23mm| 1080p,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| proximity| compass,High,Pearl White| Midnight Black| Champagne Gold,High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a8-ds.jpg
179,Samsung,Galaxy A8,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A Cat6 300/50 Mbps,Yes,Yes,2015,158 x 76.8 x 5.9 mm (6.22 x 3.02 x 0.23 in),BelowAvg,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,5.7 inches (~73.8% screen-to-body ratio),1080 x 1920 pixels (~386 ppi pixel density),Android 5.1.1 (Lollipop)| upgradable to 6.0 (Marshmallow),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.3 GHz Cortex-A53),Adreno 405,microSD  up to 256 GB (dedicated slot),32 GB,2 GB RAM,16 MP| f/1.9| 31mm| autofocus| LED flash| ,5 MP| f/1.9| 23mm| 1080p,Yes,Yes,Yes,Yes,Yes,Yes,Yes,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| proximity| compass,High,Pearl White| Midnight Black| Champagne Gold,High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a8-.jpg
180,Samsung,Galaxy J7,GSM / HSPA / LTE,1,1,1,HSPA 21.1/5.76 Mbps,Yes,Yes,2015,152.2 x 78.7 x 7.5 mm (5.99 x 3.10 x 0.30 in),BelowAvg,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,5.5 inches (~69.6% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),Android 5.1 (Lollipop)| upgradable to 6.0.1 (Marshmallow),Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSD  up to 256 GB (dedicated slot),16 GB,1.5 GB RAM,13 MP| f/1.9| 28mm| autofocus| LED flash| ,5 MP| f/2.2| 23mm| LED flash,Yes,Yes,Yes,Yes,Yes,Yes,Yes,microUSB 2.0,Accelerometer| proximity,High,White| Black| Gold,Moderate,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j7-j700f.jpg
181,Samsung,Galaxy J5,GSM / HSPA / LTE,1,1,1,HSPA 21.1/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015,142.1 x 71.8 x 7.9 mm (5.59 x 2.83 x 0.31 in),Light,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,5.0 inches (~67.5% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop)| upgradable to 6.0.1 (Marshmallow),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSD  up to 256 GB (dedicated slot),8/16 GB,1.5 GB RAM,13 MP| f/1.9| 28mm| autofocus| LED flash,5 MP| f/2.2| 23mm| LED flash,Yes,Yes,Yes,Yes,Yes,Yes,Yes,microUSB 2.0,Accelerometer| proximity,High,White| Black| Gold,Moderate,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j5-sm-j500f.jpg
182,Samsung,Galaxy Tab 4 10.1 (2015),No cellular connectivity,0,0,0,0,No,No,2015,243.4 x 176.4 x 7.9 mm (9.58 x 6.94 x 0.31 in),Heavy,No-SIM,TFT capacitive touchscreen  16M colors,10.1 inches (~68.9% screen-to-body ratio),1280 x 800 pixels (~149 ppi pixel density),Android 4.4.4 (KitKat)| upgradable to 5.1.1 (Lollipop),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSD  up to 64 GB (dedicated slot),16 GB,1.5 GB RAM,3.15 MP,1.3 MP,Yes with stereo speakers,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Accelerometer,Super High,White| Black,Moderate,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-4-101-2015.jpg
183,Samsung,Galaxy Tab E 9.6,GSM / HSPA,1,1,1,HSPA,Yes,Yes,2015,241.9 x 149.5 x 8.5 mm (9.52 x 5.89 x 0.33 in),Heavy,Single-SIM,TFT capacitive touchscreen  16M colors,9.6 inches (~73.9% screen-to-body ratio),800 x 1280 pixels (~157 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz,Adreno 306,microSD  up to 256 GB (dedicated slot),8/16 GB,1.5 GB RAM,5 MP| f/2.2| autofocus,2 MP| f/2.4,Yes,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Accelerometer,Super High,Pearl White| Metallic Black,Moderate,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-e-sm-t561.jpg
184,Samsung,Galaxy S6 active,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A Cat6 300/50 Mbps,Yes,Yes,2015,146.8 x 73.4 x 8.6 mm (5.78 x 2.89 x 0.34 in),BelowAvg,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,5.1 inches (~66.5% screen-to-body ratio),1440 x 2560 pixels (~576 ppi pixel density),Android 5.0.2 (Lollipop)| upgradable to 6.0.1 (Marshmallow),Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),Mali-T760MP8,No,32/64 GB,3 GB RAM,16 MP| f/1.9| 28mm| autofocus| LED flash,5 MP| f/1.9| 22mm| 1080p@30fps,Yes,Yes,Yes,Yes,Yes,Yes,No,microUSB 2.0,Accelerometer| gyro| proximity| compass| barometer| heart rate,High,White| Gray,High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s6-active.jpg
185,Samsung,Galaxy Tab 3 V,GSM / HSPA,1,1,1,HSPA,Yes,Yes,2015,193.4 x 116.4 x 9.7 mm (7.61 x 4.58 x 0.38 in),Heavy,Single-SIM,TFT capacitive touchscreen  16M colors,7.0 inches (~61.3% screen-to-body ratio),600 x 1024 pixels (~170 ppi pixel density),Android 4.4 (KitKat),Quad-core 1.3 GHz,Mali-T760MP9,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,2 MP,2 MP,Yes,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Accelerometer,High,White| Black,Basic,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-3-v.jpg
186,Samsung,Galaxy Tab A & S Pen,GSM / HSPA / LTE,1,1,1,HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2015,242.5 x 166.8 x 7.5 mm (9.55 x 6.57 x 0.30 in),Heavy,Single-SIM,TFT capacitive touchscreen  16M colors,9.7 inches (~72.0% screen-to-body ratio),768 x 1024 pixels (~132 ppi pixel density),Android 5.0 (Lollipop),Quad-core 1.2 GHz,Mali-T760MP10,microSD  up to 256 GB (dedicated slot),16 GB,2 GB RAM,5 MP| autofocus,2 MP,Yes dual speakers,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Accelerometer| compass,Super High,Black| White| Gray,High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a-and-s-pen.jpg
188,Samsung,Galaxy Tab A 8.0,GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2015,208.3 x 137.9 x 7.4 mm (8.20 x 5.43 x 0.29 in),Heavy,Single-SIM,TFT capacitive touchscreen  16M colors,8.0 inches (~69.0% screen-to-body ratio),768 x 1024 pixels (~160 ppi pixel density),Android 5.0 (Lollipop),Quad-core 1.2 GHz,Mali-T760MP12,microSD  up to 256 GB (dedicated slot),16 GB,1.5 GB RAM (Wi-Fi),5 MP| autofocus,2 MP,Yes,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Accelerometer,High,Smoky Titanium| Smoky Blue| White,Moderate,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a8.jpg
189,Samsung,Galaxy Xcover 3,GSM / HSPA / LTE,1,1,1,HSPA 21.1/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015,132.9 x 70.1 x 10 mm (5.23 x 2.76 x 0.39 in),BelowAvg,Single-SIM,PLS TFT capacitive touchscreen  16M colors,4.5 inches (~61.9% screen-to-body ratio),480 x 800 pixels (~207 ppi pixel density),Android 4.4.4 (KitKat)| planned upgrade to 5.0 (Lollipop),Quad-core 1.2 GHz Cortex-A53,Vivante GC7000,microSD  up to 256 GB (dedicated slot),8 GB,1.5 GB RAM,5 MP| autofocus| LED flash,2 MP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,microUSB 2.0,Accelerometer| proximity| compass,Moderate,Gray,Moderate,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-xcover-3-new.jpg
190,Samsung,Galaxy S6 edge (USA),GSM / CDMA / HSPA / EVDO / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2015,142 x 70.1 x 7.1 mm (5.59 x 2.76 x 0.28 in),Light,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,5.1 inches (~72.0% screen-to-body ratio),1440 x 2560 pixels (~576 ppi pixel density),Android 5.0.2 (Lollipop)| upgradable to 5.1 (Lollipop),Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),Mali-T760MP8,No,32/64/128 GB,3 GB RAM,16 MP| f/1.9| 28mm| OIS| autofocus| LED flash,5 MP| f/1.9| 22mm| 1440p@30fps| dual video call| Auto HDR,Yes,Yes,Yes,Yes,Yes,Yes,No,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,High,White Pearl| Black Sapphire| Gold Platinum,Super High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s6-edge-cdma.jpg
191,Samsung,Galaxy S6 (USA),GSM / CDMA / HSPA / EVDO / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A Cat6 300/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2015,143.5 x 70.6 x 6.9 mm (5.65 x 2.78 x 0.27 in),Light,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,5.1 inches (~70.8% screen-to-body ratio),1440 x 2560 pixels (~576 ppi pixel density),Android 5.0.2 (Lollipop)| upgradable to 5.1 (Lollipop),Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),Mali-T760MP8,No,32/64/128 GB,3 GB RAM,16 MP| f/1.9| 28mm| OIS| autofocus| LED flash,5 MP| f/1.9| 22mm| 1440p@30fps| dual video call| Auto HDR,Yes,Yes,Yes,Yes,Yes,Yes,No,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,High,White Pearl| Black Sapphire| Gold Platinum,High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s6-cdma.jpg
192,Samsung,Galaxy S6 edge,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps,Yes,Yes,2015,142.1 x 70.1 x 7 mm (5.59 x 2.76 x 0.28 in),Light,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,5.1 inches (~71.7% screen-to-body ratio),1440 x 2560 pixels (~577 ppi pixel density),Android 5.0.2 (Lollipop)| upgradable to 7.0 (Nougat),Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),Mali-T760MP8,No,32/64/128 GB,3 GB RAM,16 MP| f/1.9| 28mm| OIS| autofocus| LED flash| ,5 MP| f/1.9| 22mm| 1440p@30fps| dual video call| Auto HDR,Yes,Yes,Yes,Yes,Yes,Yes,No,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,High,White Pearl| Black Sapphire| Gold Platinum| Green Emerald,High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s6-edge.jpg
193,Samsung,Galaxy S6 Plus,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A Cat4 150/50 Mbps,Yes,Yes,2015,142.1 x 70.1 x 7 mm (5.59 x 2.76 x 0.28 in),Heavy,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,5.5 inches,1080 x 1920 pixels (~401 ppi pixel density),Android 5.0.2 (Lollipop),Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),Mali-T760MP8,To be confirmed,32 GB,4 GB RAM,16 MP| f/1.9| 28mm| OIS| autofocus| LED flash,5 MP| f/1.9| 22mm| 1440p@30fps| dual video call| Auto HDR,Yes,Yes,Yes,Yes,Yes,Yes,No,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer,High,White Pearl| Black Sapphire,Moderate,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s6-edge.jpg
194,Samsung,Galaxy S6 Duos,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A Cat6 300/50 Mbps,Yes,Yes,2015,143.4 x 70.5 x 6.8 mm (5.65 x 2.78 x 0.27 in),Light,Dual-SIM,Super AMOLED capacitive touchscreen  16M colors,5.1 inches (~70.9% screen-to-body ratio),1440 x 2560 pixels (~576 ppi pixel density),Android OS,Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),Mali-T760MP8,No,32/64/128 GB,3 GB RAM,16 MP| f/1.9| 28mm| OIS| autofocus| LED flash,5 MP| f/1.9| 22mm| 1440p@30fps| dual video call| Auto HDR,Yes,Yes,Yes,Yes,Yes,Yes,No,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,High,White Pearl| Black Sapphire| Gold Platinum,High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s6.jpg
195,Samsung,Galaxy S6,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A Cat6 300/50 Mbps,Yes,Yes,2015,143.4 x 70.5 x 6.8 mm (5.65 x 2.78 x 0.27 in),Light,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,5.1 inches (~70.7% screen-to-body ratio),1440 x 2560 pixels (~577 ppi pixel density),Android 5.0.2 (Lollipop)| upgradable to 7.0 (Nougat),Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),Mali-T760MP8,No,32/64/128 GB,3 GB RAM,16 MP| f/1.9| 28mm| OIS| autofocus| LED flash| ,"5 MP| 1/4.1"" sensor size| 1.34 Âµm pixel size| f/1.9| 22mm| 1440p@30fps| dual video call| Auto HDR",Yes,Yes,Yes,Yes,Yes,Yes,No,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,High,White Pearl| Black Sapphire| Gold Platinum| Blue Topaz,High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s6.jpg
196,Samsung,Galaxy J1 4G,GSM / HSPA / LTE,1,1,1,HSPA 21.1/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015,129 x 68.2 x 8.9 mm (5.08 x 2.69 x 0.35 in),Light,Single-SIM,TFT capacitive touchscreen  16M colors,4.3 inches (~59.8% screen-to-body ratio),480 x 800 pixels (~217 ppi pixel density),Android 4.4.4 (KitKat),Quad-core 1.2 GHz,Mali-400,microSD  up to 256 GB (dedicated slot),4 GB,768 MB RAM,5 MP| autofocus| LED flash,2 MP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,microUSB 2.0,Accelerometer| proximity,Moderate,White| Black| Blue,Basic,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j1-sm-j100h1.jpg
197,Samsung,Galaxy J1,GSM / HSPA,1,1,1,HSPA 21.1/5.76 Mbps,Yes,Yes,2015,129 x 68.2 x 8.9 mm (5.08 x 2.69 x 0.35 in),Light,Single-SIM,TFT capacitive touchscreen  16M colors,4.3 inches (~59.8% screen-to-body ratio),480 x 800 pixels (~217 ppi pixel density),Android 4.4.4 (KitKat),Dual-core 1.2 GHz Cortex-A7,Mali-400,microSD  up to 256 GB (dedicated slot),4 GB,512 MB RAM,5 MP| f/2.2| 31mm| autofocus| LED flash,2 MP,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer| proximity,Moderate,White| Black| Blue,Basic,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j1-sm-j100h1.jpg
198,Samsung,Galaxy J2,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015,136.5 x 69 x 8.4 mm (5.37 x 2.72 x 0.33 in),Light,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,4.7 inches (~64.7% screen-to-body ratio),540 x 960 pixels (~234 ppi pixel density),Android 5.1.1 (Lollipop),Quad-core 1.3 GHz Cortex-A7,Mali-T720,microSD  up to 256 GB (dedicated slot),8 GB,1 GB RAM,5 MP| f/2.2| autofocus| LED flash| ,2 MP| f/2.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,microUSB 2.0,Accelerometer| proximity,Moderate,White| Black| Gold,Super High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j2.jpg
199,Samsung,Galaxy Tab 3 Lite 7.0 VE,No cellular connectivity,0,0,0,0,No,No,2015,193.4 x 116.4 x 9.7 mm (7.61 x 4.58 x 0.38 in),Heavy,No-SIM,TFT capacitive touchscreen  16M colors,7.0 inches (~61.3% screen-to-body ratio),600 x 1024 pixels (~170 ppi pixel density),Android 4.4.4 (KitKat),Quad-core 1.3 GHz,Mali-400MP,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,2 MP,No,Yes,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Accelerometer,High,White| Black| Green| Pink| Yellow,Basic,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-3-lite.jpg
200,Samsung,Z1,GSM / HSPA,1,1,1,HSPA,Yes,Yes,2015,120.4 x 63.2 x 9.7 mm (4.74 x 2.49 x 0.38 in),Light,Dual-SIM,PLS TFT capacitive touchscreen  16M colors,4.0 inches (~59.8% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Tizen 2.3,Dual-core 1.2 GHz Cortex-A7,Mali-400,microSD  up to 64 GB (dedicated slot),4 GB,768 MB RAM,3.15 MP| LED flash,VGA,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer,Moderate,White| Black| Wine Red,Basic,http://cdn2.gsmarena.com/vv/bigpic/samsung-z-1.jpg
201,Samsung,Galaxy A7 Duos,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015,151 x 76.2 x 6.3 mm (5.94 x 3.00 x 0.25 in),Light,Dual-SIM,Super AMOLED capacitive touchscreen  16M colors,5.5 inches (~72.5% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 4.4.4 (KitKat),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSD  up to 64 GB (uses SIM 2 slot),16 GB,2 GB RAM,13 MP| f/2.0| 28mm| autofocus| LED flash,5 MP| f/2.2| 23mm| 1080p,Yes,Yes,Yes,Yes,Yes,Yes,Yes,microUSB 2.0,Accelerometer| proximity| compass,High,Pearl White| Midnight Black| Champagne Gold,Super High,http://cdn2.gsmarena.com/vv/bigpic/samsung-a7.jpg
202,Samsung,Galaxy A7,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015,151 x 76.2 x 6.3 mm (5.94 x 3.00 x 0.25 in),Light,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,5.5 inches (~72.5% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 4.4.4 (KitKat)| upgradable to 5.0.2 (Lollipop),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53) - A700FD,Adreno 405 - A700FD,microSD  up to 64 GB (dedicated slot),16 GB,2 GB RAM,13 MP| f/2.0| 28mm| autofocus| LED flash| ,5 MP| f/2.2| 23mm| 1080p,Yes,Yes,Yes,Yes,Yes,Yes,Yes,microUSB 2.0,Accelerometer| proximity| compass,High,Pearl White| Midnight Black| Champagne Gold,Super High,http://cdn2.gsmarena.com/vv/bigpic/samsung-a7.jpg
203,Samsung,Galaxy Grand Max,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015,146 x 74.8 x 7.9 mm (5.75 x 2.94 x 0.31 in),BelowAvg,Single-SIM,IPS LCD capacitive touchscreen  16M colors,5.25 inches (~68.6% screen-to-body ratio),720 x 1280 pixels (~282 ppi pixel density),Android 4.4.4 (KitKat),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSD  up to 64 GB (dedicated slot),16 GB,1.5 GB RAM,13 MP| autofocus| LED flash,5 MP| 1080p,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer| proximity| compass,Super High,Gray| White,Moderate,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-grand-max.jpg
